ABV,Brewery,Description,IBU,Name,Rating,Style,URL
26.6 IBU,OOB,"OOB Hoppy Blonde - OOB Nº1
Nuestra Blonde Ale no podía ser solo una Blonde más ¡Es una H@ppy Blonde! Nace de una selecta mezcla de lúpulos y maltas ligeramente dulces, junto a un gran toque especial de Dry Hopping final. Aromas tropicales, intensos ... Ver más agradables caracteres frutales hacen de nuestra Blonde Ale una cerveza moderna, alegre y refrescante Ver menos",26.6 IBU,OOB Hoppy Blonde,,Blonde Ale,/cervezas/oob-hoppy-blonde
6 º,Viking Bad,"Ginger Maiden
Vientos de guerra soplan en la brumosa Brltania. La reina ha ordenado armar su carro, afilar su lanza y mandar mensajeros a los pueblos vecinos. La sed de venganza viaja por los caminos, danza sobre las cenizas aún candentes de las ... Ver más late en las venas de su gente. Pronto, los romanos conocerán el furor celta.
Los hidromieles de jengibre son muy tradicionales de las Islas Británicas en fechas invernales. Ginger Maiden ha sido elaborado artesanalmente, infusionando y macerando jengibre natural rallado a mano. Con cada trago, paladearás el ardiente sabor de la rebelión.
Este hidromiel no contiene gluten, de modo que es apto para celiacos. Ver menos",6 º,Viking Bad Ginger Maiden,,Mead - Hidromiel,/cervezas/viking-bad-ginger-maiden
4.7 º,CCVK - Compañía Cervecera del Valle del Khas,"CCVK Tr Kahs
Witbier refrescante, cítrica y floral. Tiene la turbidez típica de las cervezas de trigo belgas y una densidad y carbonatación ligeramente superiores.",4.7 º,CCVK Tr Kahs,,Witbier,/cervezas/ccvk-tr-kahs
40 IBU,Onobeer,"Onobeer Libertá
Onubense Pale Ale
Para maridar con la mejor compañía.
Cerveza con lúpulos amarillo, citra y simcoe, con lo que la hace una cerveza muy aromática donde predominan sabores y aromas cítricos fundamentalmente. Carbonatación media. ... Ver más entre 5-7º Ver menos",40 IBU,Onobeer Libertá,,American Pale Ale,/cervezas/onobeer-liberta
27 IBU,Blomberg,"Blomberg Original
Cerveza elaborada con malta de cebada malta de trigo y avena, con un marcado sabor a lúpulo. Tal y como se la hacia a Carlos V en su retiro de Yuste. Cerveza Blomberg Original , elixir de emperadores.
La cerveza artesana Blomberg ... Ver más inspirada por la pasión que sintió el emperador Carlos V por la cerveza y por su amante Barbara Blomberg.
Pasiones que dieron como fruto el héroe de Lepanto Juan de Austria, que conoció a su padre en el monasterio extremeño de Yuste. Barbara Blomberg fue una mujer legendaria, famosa por su carácter rebelde. “Madama Blomberg”,  viuda, dejaba transcurrir su vida entre fugaces amores, abundantemente regados por cerveza.
La cerveza artesana Blomberg se elabora según la tradición de los maestros cerveceros flamencos que el emperador transladó a su retiro en Extremadura. Ver menos",27 IBU,Blomberg Original,,Blonde Ale,/cervezas/blomberg-original
116 IBU,Althaia ArtesanaBrew & Roll,"Corryvreckan
Double IPA
Cerveza potente, amarga y con cuerpo en la que destacan los lúpulos ella, willamette y cascade. Y las maltas pale, golden naked oats, dextrin malt y caramalt. Corryvreckan viene de un estrecho localizado en la costa noroeste ... Ver más Escocia con unas intensas corrientes marítimas. Dichas corrientes forman el tercer remolino más grande del mundo, el cual ha sido una fuente inagotable de historias en la mitología local. Ver menos",116 IBU,Althaia / Brew & Roll Corryvreckan,,Imperial IPA,/cervezas/althaia---brew---roll-corryvreckan
42 IBU,H2ÖL Brewing,"Imperial Caramelet Stout Barrel Aged
Esta versión de Imperial Caramelet Stout es envejecida durante 6 meses en barricas nuevas de roble americano. Una imperial sweet stout de cuerpo denso y cremoso con aroma a caramelo/tofe y notas torrefactas. La ... Ver más aporta notas adicionales a madera y vainilla. En boca es empalagosa, fina y sedosa con sabor a caramelo, cafe y toques de chocolate negro. Una Imperial Stout que te hará viajar a tu infancia.
Cerveza en honor del primer aniversario de H2ÖL y ganadora de la medalla de oro en el Barcelona Beer Challenge 2018 (Mixed Style). Ver menos",42 IBU,H2ÖL Imperial Caramelet Stout Barrel Aged,,Imperial Stout,/cervezas/h2ol-imperial-caramelet-stout-barrel-aged
115 IBU,Brew & Roll,"Dark Side
Imperial Black IPA
Jose&Roll; colaboración Jose Antonio ( home brewer logroñés ) y Brew & Roll.",115 IBU,Brew & Roll Dark Side,,Imperial IPA,/cervezas/brew---roll-dark-side
6 º,Naparbier,"Shots Fired
NEIPA",6 º,Naparbier Shots Fired,,New England IPA,/cervezas/naparbier-shots-fired
,Deva,"Deva Amber
Deva Amber tiene un característico color cobrizo con brillos granates y ligeramente opalinos.
Genera poca espuma en volumen, pero es compacta y persistente.
En nariz destacan más las maltas dulces que los lúpulos. En boca el lúpulo ... Ver más terreno en busca de un equilibrio que genera un trago agradable y fácil.
Las notas maltosas y levemente amargas propician un retro gusto a caramelo quemado (caramelo de flan).
Posee una textura un poco resinosa con una carbonatación media-baja ideal para mantener la redondez y el trago largo.
Deva Amber esta pensada como cerveza de sesión, apta para poder repetir, fácil de beber pero con cierta intensidad y robustez. Ver menos",,Deva Amber,,American Amber Ale,/cervezas/deva-amber
23 º,Ginesart,"Ginesart Licor de Cervesa
Es el primer licor de cerveza del mercado elaborado en Cataluña y en la península, ideal como copa después de las comidas. Elaborado con cerveza Ginesart que ha estado guardado en botella por lo menos 3 meses.Nota de ... Ver más con gusto primero al alcohol y finalmente a la cerveza. Ver menos",23 º,Ginesart Licor de Cervesa,,Specialty Beer,/cervezas/ginesart-licor-de-cervesa
14 IBU,ACBC Associació de Cervesers del Baix CampReptilian Brewery,"Donzell Biermut
Spiced Amber Ale
Coaboració ACBC - Associació de Cervesers del Baix Camp i Reptilian, amb botànics de vermut Miró.",14 IBU,ACBC / Reptilian Donzell Biermut,,"Spice, Herb o Vegetable Beer",/cervezas/acbc---reptilian-donzell-biermut
60 IBU,Bidassoa Basque Brewery,"Bidassoa Basque Brewery Imperial Stout Bourbon BA
Bidassoa Basque Brewery Imperial Stout envejecida en barriles de Bourbon.",60 IBU,Bidassoa Basque Brewery Imperial Stout Bourbon BA,,Imperial Stout,/cervezas/bidassoa-basque-brewery-imperial-stout-bourbon-ba
6´5 º,Eidos Beer,"Eidos 3
Hoppy Blonde Beer
Cremosa espuma ocre, finas y vivas burbujas sobre un fondo brillante de tonos de albaricoque. Aroma de malta tostada, pomelo y lúpulo floral.Refrescante con un peculiar amargor equilibrado, herbal y cítrica.",6´5 º,Eidos 3,,Belgian IPA,/cervezas/eidos-3
22 IBU,Cervezas Triam,"Triam XIV Biermut
Biermut es un innovador concepto con cuerpo de cerveza y corazón de vermut, una cerveza que supone un punto y aparte.
Cerveza que por el uso de levaduras vínicas tiende a expresarse aromáticamente de forma intensa pasados unos ... Ver más Servir entre 6 y 8 grados. Ver menos",22 IBU,Triam XIV Biermut,,"Spice, Herb o Vegetable Beer",/cervezas/triam-xiv-biermut
92 IBU,Zulogaarden,"Sang De Gossa X Aniversari
Edició especial d’aquest clàssic per als seus 10 anys. En format llauna de 33cl té retocs a la recepta original.
Sang de Gossa fa 10 anys. Sí, sí, aquella IPA brutota i amarga que fa una dècada veia la llum.
Sempre ... Ver más a casa d’altre, mai ha tingut casa pròpia i així seguirà. A empentes i rodolons sempre. Moltes coses bones ens han passat a través d’aquesta cervesa, i per això, li estem molt agraïts
L’edició especial X Aniversari i tindrem l’honor de posar-la en servei per primer cop al Barcelona Beer Festival. Algunes sorpreses i canvis envolten aquesta edició especial, que esperem agradi a tothom i reconforti als més nostàlgics.
LLarga vida Sang de Gossa! Ver menos",92 IBU,Zulogaarden Sang De Gossa X Aniversari,,American IPA,/cervezas/zulogaarden-sang-de-gossa-x-aniversari
17 IBU,Cerveza Cerex,"Níscalo
Cerveza de setas de temporada elaborada con níscalos, en formato grande de 750 mililitros, con un sabor que te traslada directamente al monte.
Elaborada con Lactarius Deliciosus, también conocido como níscalo o robellón. Una experiencia ... Ver más y diferente al paladar, que recuerda de inmediato al sotobosque ibérico en otoño.
Color dorado a cobrizo con tonos rojizos, brillante. Corona de espuma blanca, con persistencia leve, burbuja fina y activa.
Aroma terroso, a pasto fresco con final a fruta madura.
Entrada especiada, fresca, que pasa a matices frutales finalizando con un punto de acidez que le confiere balance y estructura.
Maridaje:
Platos de carne asada, ahumada, a la brasa o en guiso; están indicadas especialmente las carnes de ternera o de caza. Platos de cuchara. Quesos curados y tortas (sugerencia: queso Zarzuela, de Quesos de Granadilla) Ver menos",17 IBU,Cerex Níscalo,,"Spice, Herb o Vegetable Beer",/cervezas/cerex-niscalo
35 IBU,Cerveceros del Bierzo,"Cerveceros del Bierzo Summer Saison
Con Summer Saison hemos creado una cerveza tradicional farmerhouse-saison belga con notas de lúpulo cítrico, de sabor complejo, mezclado lima y pimienta verde. Su color es pajizo y acaba con un final picante ... Ver más seco.
Esta cerveza se produce únicamente para los meses de verano, con un toque de trigo y al ser seca, es perfecta para beber en cantidad. Ver menos",35 IBU,Cerveceros del Bierzo Summer Saison,,Saison,/cervezas/cerveceros-del-bierzo-summer-saison
"starstarstarstarstar_half 4,30",Monsieur Gordo BreweryBidassoa Basque Brewery,"Monsieur Gordo Dulce de leche Imperial Stout
Imperial Stout de perfil lupulado y matices caramelizados aportados por el dulce de leche, que fué elaborado adhoc por Monsieur Gordo.
Para redondear su bouquet fué madurada con trufas negras tuber ... Ver más utilizadas: Pale Ale, Crystal, Rauchmalz, Biscuit, Roasted Barley y Chocolate.
Lúpulos: Chinook, Columbus y Cascade.
Se recomienda el consumo responsable, lo cual implica que nunca se debe acompañar con comida rápida.
Consumir preferentemente dentro de los próximos 30 años, a no ser que por una extraña razón valga más dinero de lo que usted pagó por ella. En ese caso véndala inmediatamente.
Elaborada y embotellada por Bidassoa Basque Brewery Ver menos","starstarstarstarstar_half 4,30",Monsieur Gordo Dulce de leche Imperial Stout,,Imperial Stout,/cervezas/monsieur-gordo-dulce-de-leche-imperial-stout
25 IBU,Lenda,Lenda Trigo,25 IBU,Lenda Trigo,,Weizen-Weissbier,/cervezas/lenda-trigo
53 IBU,Cerveza Cazurra,"Cazurra PasiónEdición especial limitada Semana Santa de León,Según su autor, David Gil “cuerpo para competir un poco con el judío. No tanto matar y más beber cerveza y animar la fiesta”.Una cerveza de seis grados, con mucho cuerpo, un color ... Ver más –ni dorado ni tostado-, muy amarga , con mucho sabor a lúpulo y un aroma a campo. “Una cerveza con mucho cuerpo que unos la odian y otros, como a mí, simplemente nos enamoró”. Ver menos",53 IBU,Cazurra Pasión,,English Pale Ale,/cervezas/cazurra-pasion
35 IBU,La Quince Brewery,"La Quince God Save The Oatmeal Pale Ale
Pale Ale con avena. Homenaje a Sex Pistols y The Big Lebowski.",35 IBU,La Quince God Save The Oatmeal Pale Ale,,American Pale Ale,/cervezas/la-quince-god-save-the-oatmeal-pale-ale
6.4 º,Cervesa Maquis,"Cerveza negra de 6,4%, estilo Porter. Es una cerveza corpulenta, de gusto torrefacto y sutil amargor. Presentada en la feria de Molins del 2012.",6.4 º,Maquis Sovietic Porter,,Porter,/cervezas/maquis-sovietic-porter
40 IBU,La Quince Brewery,"La Quince God Save The Hoppy Gluten Free
Blonde Ale sin gluten
Cargada de lúpulos Simcoe y Mosaic.",40 IBU,La Quince God Save The Hoppy Gluten Free,,Sin Gluten,/cervezas/la-quince-god-save-the-hoppy-gluten-free
4.7 º,Garage Beer Co,"Bag Handler
Pale Ale
Pale ale de 4.7% ABV con lúpulos galaxy y mosaic.",4.7 º,Garage Beer Co Bag Handler,,American Pale Ale,/cervezas/garage-beer-co-bag-handler
"starstarstar_borderstar_borderstar_border 1,80",Estrella Galicia,"Es más suave y de cuerpo más ligero que Estrella Galicia Especial, aunque mantiene su sabor amargo tradicional. Se podría definir como una cerveza muy refrescante y muy fácil de beber.
Cerveza de tipo  Pilsen con una concentración alcohólica ... Ver más 4,7%. Ver menos","starstarstar_borderstar_borderstar_border 1,80",Estrella Galicia Pilsen,,Pilsner,/cervezas/estrella-galicia-pilsen
6.5 º,Cervezas La VirgenCervezas YakkaLaugar BreweryNómada BrewingLa Quince BreweryBarbas Beer ProjectYriaTyrisFreaks Brewing,"La Virgen La Verbena
2017
Mitad Lager, Mitad IPA.
La Verbena es una cerveza que ha vivido una lenta fermentación a 18ºC y que tiene un intenso carácter a malta y lúpulo.
Es perfecta para celebrar buenos momentos con buenos amigos. Además ... Ver más hecha en buena compañía, y eso se nota.
Colaboración: La Virgen, Yria, Barbas Beer Project, Laugar, Nómada, Yakka, Tyris, Freaks y La Quince Ver menos",6.5 º,La Virgen La Verbena,,Lager,/cervezas/la-virgen-la-verbena
23 IBU,Estrella Galicia,"Estrella Galicia Espíritu Samaín
Espírito Samaín pertenece a la línea Fábrica de Cervezas Estrella Galicia, que abarca diferentes ediciones limitadas que tienen como factor común la utilización de ingredientes naturales provenientes de tierra, ... Ver más y aire.
Se trata de una cerveza pumpkin lager gallega que cuenta con un 5,4% de volumen de alcohol y está elaborada a partir de ingredientes naturales entre los que destacan la calabaza y la vainilla en rama.
Para su elaboración, los maestros cerveceros de Hijos de Rivera han incorporado calabaza durante la elaboración del mosto buscando que sus aportes sensoriales estén presentes en esta cerveza de temporada. Además, durante el proceso de guarda, se ha añadido vainilla en rama que reposa en la cerveza con calma dotando a esta nueva propuesta de aromas y sabores sorprendentes. Ver menos",23 IBU,Estrella Galicia Espíritu Samaín,,Lager,/cervezas/estrella-galicia-espiritu-samain
54 IBU,Tito Blas,"Tito Blas Ryot
Rye APA
Color dorado, carbonatacion media baja, espuma cremosa, aromas cítricos, tropicales y menta... Amarga en boca y ligera en trago. Refrescante",54 IBU,Tito Blas Ryot,,American Wheat or Rye Beer,/cervezas/tito-blas-ryot
15 IBU,Malvados,"Malvados Trigo
Es refrescante y no te deja indiferente. Ligeramente dorada, está coronada por una espuma estable, y ha sido concebida para disfrutar en cualquier ocasión.",15 IBU,Malvados Trigo,,Weizen-Weissbier,/cervezas/malvados-trigo
9 º,Cerveses La Pirata,"La Pirata Away
Double IPA",9 º,La Pirata Away,,Imperial IPA,/cervezas/la-pirata-away
40 IBU,Barna BrewMas Malta Cervecera,"Barna Brew / Mas Malta Blanconegra
Dark BlâncheAromatizada con piel de naranja y Jengibre, Mosaic monovarietal, Levadura Blânche.
Cerveza sabores afrutados de Mosaic + piel Naranja y cuerpo. Notas tostadas de malta (trigo chocolate y trigo crystal) ... Ver más aroma final suave de Jengibre. Ver menos",40 IBU,Barna Brew / Mas Malta Blanconegra,,Specialty Beer,/cervezas/barna-brew---mas-malta-blanconegra
50 IBU,MDQ,"MDQ IPA
Indian pale Ale
Cerveza estilo ingles, destaca su amargor medio alto, de buen cuerpo, aroma a maltas caramelizados y sabor pleno en boca, de color rojizo, aporta una presencia de sabores complejos. Es una cerveza placenteramente aromática, ... Ver más una agradable presencia de Iúpulos y maltas caramelizados.
Posee una espuma persistente y una corona moderada que acentúa el sabor. Ver menos",50 IBU,MDQ IPA,,India Pale Ale,/cervezas/mdq-ipa
69 IBU,Cervezas 69Cervezas Speranto,"Cervezas 69 / Speranto Creek
Vermont IPA
Citrus, Hoppy & Fruity
Se trata de una Vermont IPA, tambien conocida como New England IPA, frutal, cítrica, cremosa y poco amarga, y que hemos dedicado a los pueblos indoamericanos, conocidos con este nombre, ... Ver más significa arroyo. Ver menos",69 IBU,69 / Speranto Creek,,American IPA,/cervezas/69---speranto-creek
6.7 º,Gar&Gar;,"Gar&Gar; IPAr Haizea
Donostiako India Pale Ale",6.7 º,Gar&Gar; IPAr Haizea,,India Pale Ale,/cervezas/gar-gar-ipar-haizea
25 IBU,3Monos Craft Beer,"3Monos Golden Ape
Etiqueta creada por Lalone",25 IBU,3Monos Golden Ape,,Blonde Ale,/cervezas/3monos-golden-ape
4.9 º,Desiderata Cerveza Artesanal,"Desiderata Trigo y Naranja Amarga
Interpretación del estilo original belga de la cerveza de trigo witbier dando lugar a una cerveza pálida, casi blanca, con cuerpo medio y espuma persistente. El carácter refrescante que aporta el trigo malteado ... Ver más con el dulzor de los copos sin maltear, encuentra un justo equilibrio con el sabor amargo de la naranja de Sevilla y el cilantro. Ver menos",4.9 º,Desiderata Trigo y Naranja Amarga,,Witbier,/cervezas/desiderata-trigo-y-naranja-amarga
4 º,Garage Beer Co,"Garage Beer Co Iyela
IYELA, coffee sour, 4% ABV. cafè procedent de mbeya, tanzània, i torrat pels amics de @nomadcoffee",4 º,Garage Beer Co Iyela,,Sour Ale,/cervezas/garage-beer-co-iyela
22 IBU,Cervecera Sotileza,Sotileza La Inés,22 IBU,Sotileza La Inés,,Blonde Ale,/cervezas/sotileza-la-ines
5.9 º,Brew & Roll,"Scream 1
IPA
Citra",5.9 º,Brew & Roll Scream 1,,India Pale Ale,/cervezas/brew---roll-scream-1
5.4 º,Maset,"En su afán de elaborar una cerveza artesanal perfecta, Maset ha seleccionado a los mejores cerveceros del mundo para colaborar junto con sus enólogos, en la elaboración de una nueva cerveza que al mismo tiempo aúne tradición y calidad. ",5.4 º,Maset Munich Tostada,,Weizen-Weissbier,/cervezas/maset-munich-tostada
65 IBU,Jakobsland Brewers,"Na Terra dos Xigantes
El color turbio dorado de esta cerveza contrasta con la espesa espuma blanca gracias a la malta de avena utilizada. esta IPA americana de doble dryhopping contiene grandes dosis de 6 lúpulos que generan un potente aroma a flores ... Ver más cítricos, por un lado y por otro, sabores audaces como el melón, el albaricoque, la piña y la mandarina. todo ello resaltado por una delicada base de Malta avellanada. En el paladar presenta un cuerpo y una carbonatación de nivel medio y un regusto resinoso levemente amargo. Ver menos",65 IBU,Jakobsland Na Terra dos Xigantes,,American IPA,/cervezas/jakobsland-na-terra-dos-xigantes
"6,5 IBU",Birres RibbesLes Clandestines,"Colaboración a tres bandas entre Birres Ribbes, Les Clandestines i Ester i Marc. ","6,5 IBU",Col·laboració Cervesera,,American Pale Ale,/cervezas/collaboracio-cervesera
4.3 º,Domus,Otra de las especialidades locales de Domus,4.3 º,Domus Salmántica,,Pale Ale,/cervezas/domus-salmantica
25 IBU,Cerveses La PirataLaugar Brewery,"La Pirata / Laugar Heavy Trooper
¡¡BOOOOOOOOOM!!
Colaboración con la gente de Laugar Brewery. Una cerveza potente, potente!
El estilo “Wee Heavy” nace en Escocia el cómo Strong Scotch Ale y se caracteriza por una profunda maltosidad acompañado ... Ver más una importante densidad inicial y un alto volumen alcohólico.
Y por si no hubiera suficiente… la hemos envejecido durante 9 meses en barricas de WHISKY!! Toma!! Ver menos",25 IBU,La Pirata / Laugar Heavy Trooper,,Strong Scotch Ale,/cervezas/la-pirata---laugar-heavy-trooper
"starstarstarstarstar 4,90",Cervezas Alhambra,"Alhambra Tradicional - Premium Lager
Siendo la cerveza aún una bebida bastante desconocida en Granada, nuestros primeros maestros cerveceros pusieron toda su inspiración al servicio de esta primera creación. Tomando como referencia las cervezas ... Ver más tipo Lager Helles de la región de Baviera, se propusieron hacer una que se adaptara a las preferencias haciéndola menos amarga y con una carga de lúpulo más ligera para acercarla al paladar local.
Cerveza de color dorado brillante
Su aroma es muy fresco, combina notas suaves de fruta verde fresca como la manzana con toques florales de lúpulo y una ligera punta de cereal.
Sabor equilibrado entre las notas de cereal, pan blanco, notas de fruta blanca y toques florales de lúpulo ligero. Todo bien arropado con un punto ligero de amargor y acidez. Ver menos","starstarstarstarstar 4,90",Alhambra Tradicional,,Lager,/cervezas/alhambra-tradicional
49.5 IBU,Cervezas Artesanas La Primera,"La Primera La Negra
Cerveza realizada con maltas especiales, lúpulos americanos. Levaduras selectas. Color negro.
Aromas tostados: cafés, chocolate, nuez tostada y regaliz, compensado con el amargor del lúpulo.
Maridando desde carnes rojas hasta ... Ver más pudiéndose tomar con postres. Ver menos",49.5 IBU,La Primera Negra,,American Stout,/cervezas/la-primera-negra
22 IBU,Tibidabo Brewing,"Tibidabo Brewing Ataraxia
Esta cerveza es nuestro equilibrio entre las maltas y el lúpulo, entre el amagor y el dulzor, entre la cerveza suave y las fuertes. Relájate y disfruta. ¡Salud!",22 IBU,Tibidabo Brewing Ataraxia,,American Pale Ale,/cervezas/tibidabo-brewing-ataraxia
7 º,Cévique,"Cévique Imperial Stout
También conocida como Russian Imperial Stout.
Su origen se remonta al s. XVIII en Inglaterra, es una variante del estilo Stout que se caracteriza por tener una mayor cantidad de alcohol y una mayor concentración de lúpulo. ... Ver más este tipo de cerveza se elaboraba para ser enviada a Rusia, específicamente a la corte del Zar, donde apreciaban las cervezas oscuras y amargas.
La mayor graduación alcohólica evitaba que la cerveza se congelara en el largo viaje a través del frío clima ruso, mientras el lúpulo adicional actuaba como conservante. Ver menos",7 º,Cévique Imperial Stout,,Imperial Stout,/cervezas/cevique-imperial-stout
5 º,Font Salem,Elaborada para la cadena de supermercados Eroski,5 º,Aurum Hefe-Weissbier,,Weizen-Weissbier,/cervezas/aurum-hefe-weissbier
6 º,Cerveza Cotoya,"Fumu de Cotoya
Cerveza de malta afumiada a l´estilu de Bamberg.",6 º,Fumu de Cotoya,,Smoke Flavored and Wood Aged Beer,/cervezas/fumu-de-cotoya
6.4 º,Cerveza MalaqaTyrisCervezas Califa,"Malaqa / Tyris / Califa Red:Blood
Rye India Pale Ale",6.4 º,Malaqa / Tyris / Califa Red:Blood,,India Pale Ale,/cervezas/malaqa---tyris---califa-red-blood
"starstarstarstarstar_border 3,90",Cerveza La Maldita,"Sabor ligero, afrutado, plátano y clavo (especia). Cuerpo medio, carbonatación media-alta. Toque cítrico. RefrescanteAompañar con Quesos tiernos, verduras amargas (alcachofas y espárragos), toritilla, pescado azul y marisco","starstarstarstarstar_border 3,90",La Maldita Volandera,,Weizen-Weissbier,/cervezas/la-maldita-volandera
23 IBU,Green Bear,"Green Bear
Hemp Pale Ale
Cerveza de color dorado, rubia. Con aroma a fruta (manzana) y a cáñamo. Con sabor a malta, cereal y un suave amargor final. De cuerpo ligero y baja carbonatación lo que facilita su trago. Elaborada con semillas de cáñamo",23 IBU,Green Bear,,"Spice, Herb o Vegetable Beer",/cervezas/green-bear
40 IBU,Naparbier,"Naparbier Black Christmas
Belgian Dark Strong Ale
Nuestra cerveza de Navidad es una Belgian Dark Strong Ale en la que añadimos una generosa porcion de azucar candy y aromatizamos con pimienta de Jamaica, Clavo y Nuez Moscada.",40 IBU,Naparbier Black Christmas,,Christmas-Winter Specialty Spiced Beer,/cervezas/naparbier-black-christmas
60 IBU,Cervezas Medina,Medina Nelson Sauvin IPA,60 IBU,Medina Nelson Sauvin IPA,,India Pale Ale,/cervezas/medina-nelson-sauvin-ipa
29 IBU,Cerveza Malaqa,"Y nos dijeron que la estabilidad era lo ideal.
Que permanecer quietos, callados y obedientes nos convertiría en personas mejores.
No lo sois.
No olvides sentir, jugar, si quieres jugar, y gritar si quieres gritar.
Hoy brindarás por los que viven ... Ver más acuerdo a sí mismos.
¡Por los auténticos! Ver menos",29 IBU,Malaqa Brown Ale,,American Brown Ale,/cervezas/malaqa-brown-ale
0 º,Estrella de Levante,"En octubre de 2001 se prudujo el lanzamiento de la primera cerveza Sin Alcohol de Estrella de Levante caracterizada por su frescura y equilibrado amargor. Para su elaboración, se utiliza un proceso de extracción de alcohol que permite conservar ... Ver más las propiedades de aroma y sabor de la cerveza. Ver menos",0 º,Estrella de Levante Sin Alcohol,,Sin Alcohol,/cervezas/estrella-de-levante-sin-alcohol
72 IBU,Drunken Bros Brewery,"Drunken Bros Cornell
New England India Pale Ale
Extrenamos la nueva serie con una New England Ipa turbia, con cuerpo sedoso, y llena de matices.
Con un carácter aromático tremendamente tropical, con recuerdos a papaya, mango o melocotón.
Ligero ... Ver más y un sabor muy afrutado que termina seco lo que le otorga una gran bebilidad y obliga a tomar otro trago. Ver menos",72 IBU,Drunken Bros Cornell,,American IPA,/cervezas/drunken-bros-cornell
39 IBU,Gabarrera,"Gabarrera Samburiel
Cerveza American Brown Ale
Cerveza American Brown Ale, herencia de las Pale Ale inglesas, lupulizada con variedades americanas muy aromáticas y matizadas. Color ámbar oscuro, turbia, con cuerpo medio, afrutada y seca. Sabor, ... Ver más y amargores a lúpulo americano y cítrico, sin dominar sobre la malta. Ver menos",39 IBU,Gabarrera Samburiel,,American Brown Ale,/cervezas/gabarrera-samburiel
50 IBU,Old Skull,"Old Skull Abisal Stout
Muy densa pero con 7%vol.alc. Tostado torrefacto, caramelo, toffee y punto de chocolate. Servir no demasiado fría y dejar a temperatura ambiente. Perfecta para noches largas y conversaciones oscuras.",50 IBU,Old Skull Abisal Stout,,Stout,/cervezas/old-skull-abisal-stout
85 IBU,Cerveza SonYria-Guinea pigs!,"Ingredientes: agua, malta de cebada, malta de trigo, malta de centeno, aveno, miel, melaza, lúpulo, vainilla, cardamomo, ron añejo de 12 años y levadura.",85 IBU,Son of a Bitch,,"Spice, Herb o Vegetable Beer",/cervezas/son-of-a-bitch
"starstarstarstar_borderstar_border 3,00",Badúm,"Badúm con alcachofa de Benicarló
De aspecto muy cristalino y con carbonatación de burbuja pequeña y lenta, esta cerveza destaca por su color cobre claro con reflejos dorados intensos. Su espuma es de color vainilla, es muy densa y abundante. Esta ... Ver más está elaborada con cuatro maltas y dos lúpulos. 5,4% alc. Marida perfectamente con estofados, guisos y arroces marineros. Ver menos","starstarstarstar_borderstar_border 3,00",Badúm Alcachofa,,Especial,/cervezas/badum-alcachofa
"starstarstarstarstar_border 3,80",As Cervesa Artesana,Full NZ Amber Ale,"starstarstarstarstar_border 3,80",As Full NZ Amber Ale,,Amber Ale,/cervezas/as-full-nz-amber-ale
6.4 º,La CalaveraAlvinne Brouwerij,"Growing Death
Saison Aged in Wine Barrels
Saison en barrica de vi negre, col.laboració amb Alvinne (Bèlgica)
------------
Que maravilla!!!!, Saison en barrica de vino tinto, colaboración con Alvinne (Bélgica)
---------------
Saison aged in red ... Ver más barrels, collaboration with Alvinne (Belgium)  Ver menos",6.4 º,La Calavera / Alvinne Growing Death,,Saison,/cervezas/la-calavera---alvinne-growing-death
5.5 º,Cervezas Bermeja,"Bermeja Blonde Ale
La peculiar mezcla de malta pale ale y de cebada le otorga un intenso color dorado, con generosa corona de espuma blanca.
Aroma intenso aroma a malta, destacando los diferentes matices del trigo y la cebada. El lúpulo le aporta ... Ver más carácter afrutado y fresco.
Sabor agradable y sorprendente. En un primer momento, se aprecia un predominio de la malta dejando paso a matices más complejos, afrutados. El amargor se encuentra integrado con el resto de sabores.Impresión general:
La Bermeja Blonde Ale es una cerveza de gasificación media, textura ligera y agradable paso. Ver menos",5.5 º,Bermeja Blonde Ale,,Blonde Ale,/cervezas/bermeja-blonde-ale
10 º,Cerveza San Amaro,"Cerveza San Amaro Navidad 2010Especial Belga, cerveza de autor presentada en formato 75cl, Especial Navidad de San Amaro es una potente explosión de gustos en el paladar, dominados por la malta y los gustos caramelizados. El contenido alcohólico ... Ver más 10 grados no deja indiferente, siendo ideal para brindar en las fiestas navideñas. Ver menos",10 º,San Amaro Navidad 2010,,Specialty Beer,/cervezas/san-amaro-navidad-2010
