,Name,Style,Description
39,Espiga / La Calavera Eclectic Roots ,IPA Otros - 7 º - 40 IBU,"Eclectic Roots
Fruity Sour NEIPA
De la unió de dues grans cerveseres, neix aquesta cervesa fusió de la nostra experiència en Espiga amb estils on el llúpol és el protagonista, i la Calavera Brewing Coop. amb una àmplia trajectòria en elaboracions d’un caràcter més àcid.
Una Fruity G ..."
40,Península Recharge ,American IPA - 6 º - 50 IBU,"Recharge
IPA
Recharge es una IPA moderna, de 6%, con lúpulos Magnum, Centennial y Ekuanot, perfecta para ese rato que desconectamos haciendo lo que más nos gusta, nuestros hobbies, sean cuales sean.
 "
41,Península Reconnect ,Stout - 6 º - 30 IBU,"Reconnect
Stout
Reconnect es una Stout, de 6%, sedosa, de cuerpo medio, con notas a café y chocolate negro, para hacerte sentir como en casa y compartirla con la gente que más importa.
 "
42,Península / La Pirata Heavyweight ,Imperial IPA - 8 º - 45 IBU,"Heavyweight
Double IPA
Heavyweight es una Double IPA, de 8%, con lúpulos Columbus, Mosaic y Simcoe, en colaboración con La Pirata Brewing. Afrutada, herbal y con notas resinosas."
43,"Garage Beer Co / Península Flip Flip Follow starstarstarstarstar_border 3,87 ",New England IPA - 5.5 º,"Flip Flip Follow
A soft and juicy IPA containing a healthy dose of Spelt and a touch of lactose, in collaboration with Cervecera Península"
44,"Península / Soma Ambigram starstarstarstarstar_border 4,00 ",New England IPA - 6 º - 50 IBU,"Ambigram
DDH IPA
Ambigram es una DDH IPA, de 6%, con lúpulos Citra, Mosaic y El Dorado, en colaboración con Soma Beer. Cítrica, maltosa pero bien balanceada con la gran cantidad de lúpulo. "
45,Península Peachment ,Fruit Lambic - 5 º - 6 IBU,"Peachment
Kettle Sour Peach & Lactose
Peachment es una Kettle Sour con Melocotón y Lactosa, de 5%, con 15 gr. de melocotón por litro de cerveza. Ácida y sedosa en boca."
46,"La Birrita Blondie starstarstarstar_borderstar_border 3,10 ",Blonde Ale - 4 º,"La Birrita Blondie Beer
Cerveza rubia, de tipo Pilsen Ale, de alta fermentación, ligera y refrescante, color rubio pajizo y con aroma y sabor ligeramente afrutado y cítrico.
Aspecto: Color pajizo claro, lugeramente turbia debido a la alta fermentación, con una espuma blanc cremosa de media d ..."
47,"Mad Brewing Babelin starstarstarstar_halfstar_border 3,61 ",Hefeweizen - 5 º,"Babelin
Hefeweizen"
48,Mad Brewing Mad Lager ,Lager - 5 º,"Mad Lager
Lager"
