,Name,Style,Description
4409,Dorada Especial Selección de Trigo ,Weizen-Weissbier - 5.7 º,"Dorada Especial Selección de Trigo se enmarca dentro de la categoría Premium de cerveza y viene a completar la gama de Dorada Especial, que en este caso incorpora a su receta habitual una selección del mejor gofio de trigo elaborado en Canarias.
A esto se suma las cualidades propias de Dora ..."
4410,"Dawat Elements Pedro Ximénez starstarstarstar_borderstar_border 3,13 ",Specialty Beer - 4.4 º - 9.9 IBU,"Dawat Elements Pedro Ximénez Sweet Lager
Cerveza de color caoba, rojizo y de densa espuma. Con aromas a panadería y toques dulces herbáceos. De cuerpo medio, pero intensa en boca, gusto goloso y maltoso con un final suave a lúpulo.
Maridaje: la puedes tomar con quesos , embutidos , pescad ..."
4411,"Dawat Pure Botanics IPA #3 starstarstarstar_halfstar_border 3,56 ",India Pale Ale - 6.2 º - 65 IBU,"Dawat Pure Botanics IPA #3
De color ámbar con espuma densa de tonos marfil. Destaca por su aroma y sabor a maltas caramelizadas, así como a su intenso sabor a lúpulo, cítrico. "
4412,"Dawat 100 starstarstarstar_halfstar_border 3,54 ",Belgian Dark Strong Ale - 11.1 º - 22 IBU,"Dawat 100
Belgian Specialty Quadrupel
100 es para nosotros un número mágico.
Lote 100 supone un punto de inflexión entre el recuerdo de la ilusión con la que empezamos este maravilloso proyecto y el empuje para afrontar nuevos retos.
Presentamos un producto muy especial, con una elabora ..."
4413,Garagart 24/7 Rye Session IPA ,India Pale Ale - 3 º - 48 IBU,"Garagart 24/7 Rye Session IPA
5 cereales (cebada, centeno, espelta, trigo y avena) junto con cinco lúpulos (Amarillo, Centennial, Chinook, Citra y Mosaic) dan como resultado una cerveza de 3 % alcohol y 48 IBUs.
Ideal para disfrutarla 24 horas y los siete días de la semana, incluso si te ti ..."
4414,"Alegría / Boris Brew Ipanosuarus Rex starstarstarstar_halfstar_border 3,52 ",India Pale Ale - 8.2 º - 60 IBU,"Alegría / Boris Brew Ipanosuarus Rex
Una imperial IPA de 8.2%, rubia y seca, lúpulos americanos que le confieren aromas a cítricos, pomelo, melón y frutas dulces, de amargor contenido y alcohol bien integrado para beber a litros. Fruto de la colaboración con Boris de Mesones."
4415,Garage Beer Co Yellow Sub ,American Pale Ale - 4.8 º - 36 IBU,Garage Beer Co Yellow Sub
4416,Jelou Mai Neim Is Rita ,India Pale Ale - 5.4 º - 40 IBU,"Jelou Mai Neim Is Rita
Jelou Mai Neim Is Rita es una cerveza tipo Session IPA, receta maquinada por As Cervesa, Espina De Ferro y Reptilian.
Cerveza aforada ideal para combatir el caloret faller desde cualquier balconada oficial.
El alcohol perjudica seriamente los discursos en balcones. Hab ..."
4417,"La Virgen Buena Esperanza starstarstarstar_halfstar_border 3,54 ",India Pale Ale - 6.2 º - 50 IBU,"La Virgen Buena Esperanza
IPA, tirada limitada. Su nombre se debe al cabo de la Buena Esperanza por el que pasaban los barcos que trasportaban cerveza de Inglaterra a las Indias. Fresca y lupulada, con Cascade y Citra y un 6,2% de alcohol."
4418,84 Brewers Málaga R ,Pilsner - 5 º - 16 IBU,"84 Brewers Málaga R
Dos maltas ( Pilsen y Melano ), Lúpulo Nugget de León y levadura Lager forman esta cerveza elaborada para los amantes del estilo clásico Pilsen; suave, refrescante y con un tono bajo de amargor."
4419,84 Brewers Troyano American Brown Ale ,American Brown Ale - 5.3 º - 50 IBU,"84 Brewers Troyano American Brown Ale
Troyano América es un arma que guarda en su interior los más potentes lúpulos americanos. Versión extrema y actualizada de la clásica Troyano; 4 maltas diferentes y una combinación de lúpulos americanos conforman una cerveza con gran carácter para  ..."
4420,Pelandrusca Petri ,Fruit Beer - 5 º,"Pelandrusca Petri
Con un perfil de fondo de clásico estilo de trigo alemán, teníamos que poner nuestra firma y ha sido a través de un toque de frutos rojos que podréis percibir tanto en color, como en nariz como en un maravilloso retrogusto final. 5% de alcohol que pasa bastante desaperci ..."
4421,Nazarí Helema ,Red Ale - 4.5 º - 20 IBU,"Helema
Es una cerveza artesanal tipo red ale que ha estado madurando durante 10 meses. Cerveza con cuerpo, carbonatación media, espuma blanca bastante consistente.
Cerveza de edición limitada para verano de 2016."
4422,Old Skull Nebulosa Pale Ale ,Pale Ale - 5 º - 65 IBU,"Old Skull Nebulosa Pale Ale
Pale ale con una selección de maltas caramelo y malta de centeno, lúpulos Magnum y Chinook
 "
4423,La Quince 15 Hours Session IPA Athanum ,India Pale Ale - 4.7 º - 55 IBU,La Quince 15 Hours Session IPA Athanum
4424,Black Bitch Easy Bitch Session IPA ,India Pale Ale - 4.2 º - 45 IBU,"Black Bitch Easy Bitch Session IPA
This highly drinkable session IPA is made for sunny days. With a clean bitterness appealing to casual and serious beer drinkers alike. The refreshing fruity and floral hop aroma is a pleasant reminder to savor the season while you can.
Brewed with vienna mal ..."
4425,"Antiga Manumisión starstarstarstar_borderstar_border 3,11 ",Porter - 5.5 º - 25/30 IBU,"Manumisión
Ligero aroma a chocolate en combinación con la algarroba, sabor suave y sedoso con matices de chocolate y café, amargor balanceado y persistente."
4426,Munobeer Premium Ale ,Pale Ale - 6.6 º - 54.5 IBU,"Munobeer Premium Ale
De tonalidad ambar y con una brillante claridad. Espuma blanca y pálida de baja persistencia, pero con una burbuja fina y continua que hace fluir los aromas.
Cerveza de alto amargor (IBU: 54,5) debido a su intensa combinación de lúpulos que ademas aportan un aroma  ..."
4427,Munobeer Rubia Ale ,Pale Ale - 6.4 º - 18.3 IBU,"Munobeer Rubia Ale
Cerveza Artesanal de Alta Fermentación
Visualmente podemos apreciar que se trata de una cerveza de color amarillo-doradoligero, con una claridad brillanie. Espuma bianca y pálida que puede escasear debido a la baja carbonatación obtenida en boïella.
Goza de un amar ..."
4428,Babel Sunny #13 ,Witbier - 5.5 º,"Babel Sunny #13
Babel Sunny tigo - Wheat, ahora para el veranito una cerveza de trigo.
Es una cerveza rubia de trigo, de 5,5 grados de alcohol. Su aroma tiene unos toques de piña y plátano.
En sabor es refrescante y con cuerpo, un amargor suave para que notes algo más que agua."
4429,Babel Cabaret #08 IPA ,India Pale Ale - 7 º,"Babel Cabaret IPA #08
Hemos hecho la cerveza más gamberra de la saga. Autentica IPA. Indian Pale Ale, esto es, bastante amargor y muchísimo sabor a lúpulos, sabor a frutas y miel.
7 grados de alcohol, para todos aquellos valientes que necesitaban más. Que no os dé miedo, es una cerveza  ..."
4430,Babel New York #05 ,Pale Ale - 5.5 º,Babel New York #05
4431,"Dougall’s 75 Day Lager starstarstarstar_halfstar_border 3,69 ",Premium American Lager - 6 º - 40 IBU,"Dougall’s 75 Day Lager
La cerveza 75 Day Lager es una Hoppy Lager que pese a su 6 % de alcohol resulta refrescante, ligera y muy aromática."
4432,"Brew & Roll Ipanema starstarstarstar_halfstar_border 3,61 ",India Pale Ale - 3.9 º - 51 IBU,"Brew & Roll Ipanema - IPA-Nema 2.0
Session IPA
Al igual que la Ipa-nema es una versión suave de una IPA , suave en alcohol , agradable de beber pero bien lupulada y más amarga que la versión original, es una cerveza en la que predomina absolutamente el lúpulo sobre la malta.
Tiene un bon ..."
4433,Brew & Roll Spring Xplosion ,American Wheat or Rye Beer - 4.6 º - 25 IBU,"Brew & Roll Spring Xplosion
Una nueva hermana a añadir a la lista nacida de la colaboración con Cocina Creativa, una american wheat pale ale , cerveza refrescante y seca para los meses cálidos.
Tiene un color amarillo pálido limpio. En nariz es muy aromática con presencia de frutas y flo ..."
4434,"Espiga Sunshine IPA starstarstarstar_halfstar_border 3,72 ",India Pale Ale - 5.5 º - 55 IBU,"Espiga Sunshine IPA
La nova Sunshine IPA é una cervesa elaborada a partir de les maltes Pale Ale, Pilsner i Melanoidina, amb llúpols Willamate, Simcoe i Dry hopping amb Simcoe i llevat del tipus Ale. El resultat és una cervesa d’un color daurat fosc amb reflexos vermellosos, amb una aroma ..."
4435,Boscana Nelson Sauvin Single Hop IPA ,India Pale Ale - 7 º - 71.1 IBU,"Boscana Breaking Hops Edition Nelson Sauvin Single Hop Indian Pale Ale
Single Hop: IPA con adicción de un único tipo de lúpulo en cuatro cuotas diferentes, para asi poder apreciar todos los matices de Nelson Sauvin.
Nelson Sauvin: Lúpulo originario de Nueva Zelanda con un 13% de Alfa áci ..."
4436,"Boscana Red hot Chili IPA starstarstarstar_halfstar_border 3,34 ","Spice, Herb o Vegetable Beer - 6.1 º - 104 IBU","Boscana Red hot Chili IPA
104 IBUs equilibrados con una potente carga de malta y pimiento picante de Cirereta que es el pimiento tíìcoque se emplea para la sobrasada picante mallorquina y que le aportan un toque picante agradable para los días de frio."
4437,El Molino del Rio Especial ,"Spice, Herb o Vegetable Beer - 8 º - 25 IBU",El Molino del Rio Especial Anís y Pomelo
4438,"La Grúa Galerna starstarstarstarstar_border 3,76 ",India Pale Ale - 6.3 º - 60 IBU,"La Grúa Galerna
American Rye IPA
Cerveza de centeno con aromas frutales y herbaceos con toques especiados y picantes."
4439,Malasombra Non Servium ,American Pale Ale - 5.7 º - 20 IBU,"Malasombra Non Servium
Si la vida te golpea, enséñale los dientes…
Rodéate de buenos amigos y con una cerveza en la mano, disfruta de los mágicos momentos que solo unos pocos elegidos hemos vivido unidos…N. S. A.
Etiqueta homenaje a Non Servium, grupo de  música Oi! procedente de ..."
4440,"Malnombre Malasombra starstarstarstarstar_border 3,83 ",Robust Porter - 7.5 º - 80 IBU,"Malnombre Malasombra
Malasombra, una Robust Porter que hemos elaborado en las instalaciones de Cerveza Milana, en Montemayor de Pililla (Valladolid).
Malasombra es una Robust Porter potente, con buen cuerpo, ricos matices torrefactos y con un intenso amargor final. Elaborada con 6 maltas dife ..."
4441,"Laugar Ostadar starstarstarstar_halfstar_border 3,63 ",American IPA - 6.6 º - 115 IBU,Laugar Ostadar India Pale ale
4442,"Calles de Toledo La Piedra del Rey Moro starstarstarstar_borderstar_border 2,99 ",Saison - 7.5 º - 28 IBU,"Calles de Toledo La Piedra del Rey Moro
Cerveza estilo Belgian Saison. Entre sus ingredientes cabe destacar que se hace uso de hinojo y tomillo.El resultado es el de una cerveza muy frutal, especiada y con matices cítricos.
Ofrece colores dorados y matices turbios, con un carbónico muy gene ..."
4443,"Calles de Toledo Doce Cantos starstarstarstar_halfstar_border 3,43 ",Baltic Porter - 8 º - 35 IBU,"Calles de Toledo Doce Cantos
La cerveza es un estilo baltic porter, suave y de trago facil. Por eso los criticos cerveceros hablan de ella como una cerveza perfectamente equilibrada.
Por supuesto es una cerveza oscura, negra, de alta fermentacion, y con personalidad propia, que no dejará ind ..."
4444,"Calles de Toledo Cristo de la Luz starstarstarstar_halfstar_border 3,45 ",Standard-Ordinary Bitter - 4.7 º - 35 IBU,"Calles de Toledo Cristo de la Luz
Es una cerveza del estilo que le da nombre, Bitter . Es una cerveza rubia de color dorado oscuro, de un gran cuerpo y bastante gasificada. Aromática y afrutada, Apta para todo el mundo que desee beber historia.
Los ojos de Rey Alfonso pudieron contemplar tra ..."
4445,"Calles de Toledo Pozo Amargo starstarstarstar_halfstar_border 3,45 ",India Pale Ale - 6 º - 60 IBU,"Calles de Toledo Pozo Amargo
Una cerveza inspirada en el amargor de las lágrimas que cada noche caían al pozo, respetando y potenciando una de las características y atractivos de la cerveza: ese punto amargo.
En lo más profundo del alma de esta cerveza, ese amargor deja paso al regusto de ..."
4446,"Calles de Toledo La Casa del Diamantista starstarstarstar_halfstar_border 3,28 ",Blonde Ale - 5.2 º - 28 IBU,"Calles de Toledo La Casa del Diamantista
Hablando de un diamantista, de un orfebre que imagina y cincela una corona para una reina, nació una cerveza de un intenso dorado, con una burbuja brillante como piedra preciosa coronando la rubia cabellera.
En el vaso, se presenta con una joya en su  ..."
4447,"Calles de Toledo Baño de la Cava starstarstarstar_halfstar_border 3,32 ",Weizen-Weissbier - 5.4 º - 15 IBU,"Calles de Toledo Baño de la Cava
Una cerveza inspirada en la melancolía y tristeza que desprende la historia y el paraje del Baño de la Cava. El reto fue conseguir que tuviera ese aspecto fantasmagórico de las Damas Blancas, de los espíritus de mujeres muertas que se nos aparecen, como Fl ..."
4448,"La Maldita Pop Ale starstarstarstar_borderstar_border 3,21 ",American Pale Ale - 5.2 º - 20 IBU,"La Maldita Pop Ale
Color amarillo dorado de espuma blanquecina con sabor agradable a malta y recuerdo a frutos secos, de amargor ligero propiciado por los lúpulos cítricos inclinados hacia el pomelo, muy fresca. Ligera, afrutada, seca.
De trago largo que invita a disfrutarla en buena compa� ..."
4449,"Cervecera Libre Lagarta starstarstarstar_borderstar_border 3,24 ",Blonde Ale - 5.5 º - 25 IBU,"Cervecera Libre Lagarta
Nuestro primer proyecto solidario, una Blonde Ale especiada con jengibre, semillas de cilantro y cáscara de naranja.
Muy fresca y aromática, para beber una detrás de otra!"
4450,"The Flying Inn Telepathic War Elephant starstarstarstarstar_border 3,87 ",Imperial IPA - 8 º - 100 IBU,"Telephatic War Elephant
Psychotropic India Pale Ale
This beer is a heavily hoppy blast. An elixir that immerse you in a tropical hurricane, followed by subtle zesty pine notes. Go across the puff pastry, honey taste of the malts for the resinous hoppy end. A final bitter punch is the silver c ..."
4451,"Martínez Stout starstarstarstar_borderstar_border 3,23 ",Stout - 5 º - 14 IBU,"Martínez Stout
Cerveza estilo Stout elaborada con maltas base y oscuras de primera calidad.
De color negro, suave en boca y ligera, fácil de tomar, de espuma consistente, se aprecian las maltas balanceadas con el amargor bajo de los lúpulos predominando los matices de las maltas torrefacta ..."
4452,"Martínez Red Ale starstarstarstar_borderstar_border 3,18 ",Red Ale - 4.8 º - 24 IBU,"Martínez Red Ale
Cerveza estilo Red Ale elaborada con maltas que le dan su tono rojizo, fácil de tomar debido a su cuerpo medio, suave y espuma media.
Amargor moderado a leve procedente de los lúpulos ingleses con un final en boca con sabor tostado de maltas caramelo.
Marida perfectamente ..."
4453,"Martínez IPA starstarstarstar_halfstar_border 3,28 ",India Pale Ale - 5.5 º - 65 IBU,"Martínez IPA
Cerveza estilo India Pale Ale elaborada tomando como base nuestra Pale Ale manteniendo el mismo color ambar, cuerpo medio y espuma media.
Es una cerveza más lupulada y con más aroma debido a la mayor adición de lúpulos americanos en su elaboración dejando un retrogusto agr ..."
4454,"Martínez Pale Ale starstarstarstar_halfstar_border 3,37 ",Pale Ale - 5.5 º - 30 IBU,"Martínez Pale Ale
Cerveza al más puro estilo Pale Ale elaborada en Madrid siguiendo los procesos artesanos más exigentes. De color ámbar, en copa es redonda y de espuma media.
En boca se aprecian las maltas balanceadas con el ligero amargor y aromas de los lúpulos americanos. De trago la ..."
4455,"La Real del Duero / Debier Mint Chocolate Stout starstarstarstar_borderstar_border 2,89 ",Stout - 6.4 º,"La Real del Duero / Debier The Mint Chocolate Stout
Cerveza negra de corte inglés con un marcado sabor y aroma a menta gracias a la incorporación de hojas de menta seleccionadas. La malta chocolate además, imprime el sabor dulce y aromático característico que hacen de ésta receta una cer ..."
4456,"La Nou Berbena starstarstarstarstar_border 4,10 ",Blonde Ale - 5% IBU,La Nou Berbena
4457,"Moska Tronada starstarstarstarstar_border 3,80 ",Smoke Flavored and Wood Aged Beer - 5.6 º,"Moska Tronada
Pensada en la serie Juego de Tronos con motivo del rodaje en Girona. Con pimentón de la vera."
4458,Tacoa Golden Ale ,Blonde Ale - 4.5 º - 25 IBU,"Tacoa Golden Ale 
Perfecta para calmar la sed, tiene una entrada en boca ligera y muy fresca sin perder el caracter propio dellúpulo. Es atractiva, rubia brillante, de espuma blanca que aporta aromas herbáceos y frutales, altamenterefrescante."
4459,Tacoa Passion Beer ,Fruit Beer - 4.5 º,"Tacoa Passion Beer
Con pulpa natural del maracuyá"
4460,Tacoa Festbier ,Oktoberfest-Marzen - 5.5 º,Tacoa Festbier
4461,Tacoa IPA ,India Pale Ale - 6.9 º - 45 IBU,"Tacoa IPA
Iniciales de India Pale Ale. Fuertemente lupulada desprende aromas florales y cítricos. El armagor medio-intenso pero bien equilibrado por el dulzor de la malta, color naranja y ligeramente turbia, esta cerveza rompe con lo tradicional, crea tendencias y se converte en los últimos  ..."
4462,Tacoa Porter ,Porter - 6.2 º - 30 IBU,"Tacoa Porter
Cerveza opaca de color negro profundo. Con mucho cuerpo, posee un textura sedosa que la aportan los copos de avena. En nariz, aromas a café y caramelo. A pear de su carbontación suave, contiene una espuma beige compacta. Los lúpulos ingleses y las maltas tostadas le aportan bas ..."
4463,"Tacoa Tajinaste starstarstarstar_borderstar_border 3,10 ","Spice, Herb o Vegetable Beer - 6.2 º - 23 IBU","Tacoa Tajinaste
De cuerpo medio y baja graduación alcohólica, esta Pale Ale es ligera y fácil de beber. Su limpio color dorado-anaranjado y su intenso aroma a lúpulos cítricos le aportan personalidad y carácter. Amargor medio-bajo y espuma abundante y compacta, la Tacoa Surf Beer es una  ..."
4464,Tacoa Golden Ale ,Blonde Ale - 4.6 º - 25 IBU,"Tacoa Golden Ale
Cerveza ligera, altamente refrescante, de atractiva espuma blanca. Destaca por su fuerte aroma a hierba fresca."
4465,"Beercat El Taronger starstarstarstar_halfstar_border 3,39 ",Kölsch - 4.8 º,"Beercat El Taronger
El Taronger (que significa el naranjo en Catalán) es la segunda cerveza de temporada de la Serie Penedès. Se trata de una cerveza de estilo kolsch suave, elaborada con lúpulos de origen americano y alemán, añadiendo cáscara de naranja amarga de la región.
Una degustac ..."
4466,Edge Brewing Molaweiss ,Weizen-Weissbier - 5 º - 12 IBU,"Edge Brewing Molaweiss
Hefeweizen
A classic, unfiltered Bavarian style wheat beer infused with a variety of fruits and herbs. Savour the aroma and flavour of ripe banana, with touches of clove and citrus fruit. Summer is coming. Enjoy that thought."
4467,"Naparbier / La Quince Hamabost starstarstarstarstar_border 3,94 ",Imperial IPA - 9 º - 120 IBU,"Naparbier / La Quince Hamabost
Brutal Imperial IPA de 9% alc. 120 IBUS con nada más y nada menos que 10 variedades de lúpulo: amarillo, citra, mosaic, cascade, simcoe, centennial, ahtanum, columbus, polaris y mandarina
El etiquetón de Hamabost (Quince en Euskera) es obra de Antonio Bravo  ..."
4468,"Cappra Boris Brew starstarstarstarstar_border 3,90 ",Specialty Beer - 8.2 º - 60 IBU,"CAPPRA Boris Brew es una cerveza estilo indian pilsner, de baja fermentación (fermentación lager de fondo) muy lupulizada, de alto nivel alcohólico pero ligera y de trago fácil.
Aspecto: Color rubio dorado con espuma cremosa de color claro y muy buena retención.
Aroma: En nariz predomina e ..."
4469,"Hope Mahal IPA starstarstarstar_halfstar_border 3,67 ",India Pale Ale - 7.2 º - 70 IBU,"Hope Mahal IPA
India Pale Ale
Color ámbar suave con espuma densa y persistente. Carbonatación lligera y cuerpo medio. Aromas de frutas tropicales, resina y un intenso sabor a mango, frutos del bosque y madera. Amargor profundo y equilibrado."
4470,Cascabel Mexican Lager ,Lager - 5.5 º,"Cascabel Mexican Lager
Escocia, México y España. Cultura, sol, niebla, fiesta, paisajes. Rock N’ roll, fantasía etílica, viaje astral de burbujas. Aquelarre bien surtido de sabores que definen el estilo de cerveza Cascabel. Una receta sumamente original y libre de prejuicios - Bob Maltman
 "
4471,Jaira T-IPA ,Fruit Beer - 6 º - 40 IBU,"Cerveza lupulizada con buen cuerpo. A las características de la clásica IPA, se le incorpora el atrevido color rojizo del tuno indio ( higo chumbo rojo) fruto endémico de las Islas Canarias.
De tonalidad rojiza, de burbuja pequeña y espuma cremosa.
Complejidad en aromas afrutados que recu ..."
4472,"Babel Siopa starstarstarstar_halfstar_border 3,43 ",American IPA - 6 º,"Babel Siopa
IPA producida por Babel para Sipoa, local en Estepona"
4473,"La Pedriza Trigo starstarstar_halfstar_borderstar_border 2,50 ",Weizen-Weissbier - 4 º - 8 IBU,"La Pedriza de Manzanares el Real Trigo
En este caso hemos optado por una cerveza de trigo bastante tradicional, aunque hay que resaltar que el porcentaje de malta de trigo usada para su elaboración es del 50%, el máximo que se suele encontrar para este tipo de cervezas. Cuenta con un agradabl ..."
4474,"La Pedriza Altbier starstarstarstar_halfstar_border 3,64 ",Nothern German Altbier - 4.8 º,"La Pedriza de Manzanares el Real Altbier
Se trata de una cerveza tipo ale inspirada en una receta tradicional alemana, la Altbier. Es una cerveza de color ligeramente tostado, gran sabor, potente, bien balanceada, y con una sensación de amargor intensa en el trago inicial, pero que queda rápi ..."
4475,Babel Happy Hour ,American Pale Ale - 5 º,Babel Happy Hour
4476,"Malpeis Rofe starstarstarstar_halfstar_border 3,60 ",Bock - 7 º - 27 IBU,"Malpeis Rofe
Bock Triple Malta"
4477,"Malpeis Bermeja starstarstarstar_halfstar_border 3,50 ",American IPA - 6.7 º - 40 IBU,"Malpeis Bermeja
American IPA Doble Malta"
4478,"Malpeis Jable starstarstarstar_halfstar_border 3,43 ",Blonde Ale - 5.3 º - 26 IBU,"Malpeis Jable
Blond Ale"
4479,Daida Sensual ,Schwarzbier (Black Beer) - 4.6 º - 35 IBU,"Daida Sensula es una cerveza morena. El color y los aromas a café y chocolate nos evocan a las cervezas negras típicas de Inglaterra e Irlanda. En cambio, el cuerpo, la textura y el volumen alcohólico es de una rubia ligera.
De doble fermentación y media maduración. No tiene carbónico a ..."
4480,Daida Joven ,Weizen-Weissbier - 4.8 º - 12 IBU,"Daida Joven es nuestra cerveza más fresca, rebelde y cítrica. No tiene un estilo definido, aunque se puede equiparar a las Heffeweissbier alemanas.
De doble fermentación y media maduración. No tiene carbónico añadido, este se genera por fermentación en la botella. Así mismo no está  ..."
4481,Daida Auténtica ,Pale Ale - 5.25 º - 38 IBU,"Daida Auténtica es nuestra primera receta. Es una Pale Ale de cuerpo medio y marcado carácter tostado, gracias a la combinación de distintos tipos de maltas y aromas herbáceos proporicionados por nuestro mix de lúpulos.
De doble fermentación y media maduración. No tiene carbónico aña ..."
4482,Jaira IPA ,India Pale Ale - 6 º - 40 IBU,"Jaira IPA
Cerveza lupulizada con buen cuerpo. Originaria de Inglaterra durante el periodo de colonización de la India. De tonalidad dorada intensa, con burbuja pequeña y cremosa espuma. Complejidad en aromas afrutados que recuerdan a frutas tropicales y cítricos, amargor intenso pero equi ..."
4483,"Jaira Kölsch starstarstarstar_borderstar_border 3,16 ",Kölsch - 4.8 º - 18 IBU,"Kölsch
Es una refrescante cerveza rubia tipo Kölsch, estilo de Colonia, Alemania.
De color pajizo y apariencia limpia. Con espuma marfil y burbuja pequeña. Tiene un aroma afrutado que proviene de la fermentación Ale y un sutil recuerdo a lúpulo noble.
Sabor suave y redondo en boca, con  ..."
4484,"Mahou Maestra starstarstarstar_borderstar_border 3,13 ",Lager - 7.5 º,"Mahou Maestra - Maestra Doble Lúpulo
La cerveza tostada doble lúpulo
Mahou Maestra convence y enamora a los paladares más exigentes con un sabor intenso y un gran cuerpo que desembocan en un sabor único caracterizado por su doble lúpulo. Una cerveza tostada, con gran variedad de matices; p ..."
4485,"Gatgraz Shavala marIPAu starstarstarstar_halfstar_border 3,46 ",India Pale Ale - 4.5 º - 40 IBU,"Gatgraz Shavala marIPAu
IPA de Balls de Saló
Session ipa d’amargor molt matisada i afruitada, per a poder beure tranquilament sense haver d’evitar rotondes. Cervesa refrescant, ideal per calmar la set. Trobada de puntaires a la vora el Taj-Mahal. Punjab i la Franja, tots en conflicte exi ..."
4486,Colegiata Malamadre ,English Brown - 5.5 º,"Colegiata Malamadre
Tostada de doble fermentación con café de Colombia 100% Arabica tostado en Cantabria."
4487,"BIIR / Guineu Macchiatto starstarstarstar_halfstar_border 3,70 ",Black IPA - 6.5 º,"BIIR / Guineu Macchiatto
Vanilla Caramel Black IPA"
4488,"Guineu Esgarrapats starstarstarstar_halfstar_border 3,73 ",American IPA - 7.5 º - 150 IBU,"Guineu Esgarrapats
Aroma resinós amb notes de fruita en boca, cos lleuger malgrat el seus 7,5%, un amargor llarg però integrat i 150 ibu que t’esgarrpen sense adonar-te’n…
-----------------
Aroma resinoso con notas de fruta en boca, cuerpo ligero a pesar del sus 7,5% , un amargor lar ..."
4489,"Logorda Molemen starstarstarstar_halfstar_border 3,30 ",American IPA - 6.2 º,"Logorda Molemen
American IPA"
4490,Lagorda Pale Ale amb Ortiga ,"Spice, Herb o Vegetable Beer","Lagorda Pale Ale amb Ortiga
Pale Ale con ortigas. Cerveza Ale clara y refrescante con incorporación de hojas secas de ortiga durante la ebullición lo que le aporta un ligero aroma y sabor hebáceos."
4491,Lagorda Baviera´s Blues ,English Brown - 5.2 º," 
Lagorda Baviera´s Blues
Cervesa fosca amb sabors torrefactes.
---------------
Cerveza oscura con sabores torrefactos."
4492,Garage Beer Co Contraband ,"Spice, Herb o Vegetable Beer - 3.9 º - 22 IBU","Garage Beer Co Contraband
Hem fet una cervesa molt especial en col.laboració amb els baristes i torradors Nømad y Right Side Coffee: es tracta de contraband, la nostra nova coffee porter amb 3,9% ABV 22 IBUS amb cafè de la finca Barcelona (Colòmbia).
-----------------
Hemos hecho una cer ..."
4493,"Tous d’Anoia Cantagalls starstarstarstarstar_half 4,30 ",American Pale Ale - 5 º - 35 IBU,"Tous d’Anoia Cantagalls
Cerveza de estilo American Pale Ale, suave, refrescante, afrutada con un toque cítrico que recuerda a limón y pomelo."
4494,Catalan Brewery Mané Galinha ,Imperial IPA - 11.54 º - 140 IBU,"Catalan Brewery Mané Galinha
Cerveza compleja y de fuerte graduación. Intenso gusto a caramelo."
4495,"Bripau Rusca starstarstarstar_halfstar_border 3,37 ",Specialty Beer - 6.8 º - 42 IBU,"Bripau Rusca
Honey Pale Ale
Color daurat fosc amb un toc vermellós, lleugerament tèrbola. Amb espuma de color blanc lleugerament trencat, i bombolla fina.
Olors de resines, eucaliptus i herba fresca, degut al dry hopping amb llúpol columbus. També és evident l’olor a mel i pa.
Cos mi ..."
4496,"Catalan Brewery Florian Schweinsteiger starstarstarstar_halfstar_border 3,42 ",Maibock-Helles Bock - 7.2 º - 49 IBU,"Catalan Brewery Florian Schweinsteiger
De color rojizo amarronado, no presenta turbidez, y la espuma formada es persistente, y adherente al cristal. Carbonatación media alta.
Profundamente maltosa, ligeramente tostada, más terrosa que dulce, con notas balsámicas y florales muy nítidas pro ..."
4497,El Cantero Stone Mason Wheel Stout ,Stout - 6.4 º,El Cantero Stone Mason Wheel Stout
4498,El Cantero Special Saison ,Saison - 7.8 º,"El Cantero Special Saison
Atypical Saison
Edición especial segundo aniversario El Cantero, una Saison especial con más graduación alcohólica, aromática y con toque a lúpulo. El sabor es amargor medio, afrutado, picante y un toque cítrico."
4499,"La Calavera / Tro Ales Chipotle o Muerte Venceremos starstarstarstarstar_border 3,80 ","Spice, Herb o Vegetable Beer - 7.5 º - 50 IBU","La Calavera / Tro Ales Chipotle o Muerte Venceremos
American Amber Ale Mulato Chipotle Habanero
Chile Morita, Chile de Arbol y Chipotle Meco"
4500,"La Calavera A.C.A.B. starstarstarstarstar_half 4,60 ",Pale Ale - 4.5 º - 32 IBU,"La Calavera A.C.A.B.
AC.A.B. - All Citiziens Are Bastards
Pale ale con dry hopping de lúpulo Calypso."
4501,"La Calavera Walking Coeliacs starstarstarstar_halfstar_border 3,27 ",Sin Gluten - 5.5 º - 30 IBU,"La Calavera Walking Coeliacs - The Walking Coeliacs
Pale Ale Gluten Free
Monovarietal Cascade - Pale Ale
Walking Coeliacs, un pale ale Gluten Free amb malts i llúpols orgànics
-------------------
Walking Coeliacs , un pale ale Gluten Free con maltas y lúpulos orgánicos"
4502,La Calavera Bâtard Fruit ,Fruit Beer - 9.2 º,"La Calavera Bâtard Fruit
Batard Fruit, un Belgian Strong envellida en bóta de vi dolç durant 6 mesos. També té gerds.
----------
Batard Fruit, un Belgian Strong envejecida en barrica de vino dulce durante 6 meses. También tiene frambuesa."
